County,Region,Color
New York State,New York State,black
Albany,Capital,#A7B0C8
Allegany,Western New York,#A5CDB5
Bronx,New York City,#A8A8A8
Broome,Southern Tier,#4E729C
Cattaraugus,Western New York,#A5CDB5
Cayuga,Central New York,#48818B
Chautauqua,Western New York,#A5CDB5
Chemung,Finger Lakes,#CA8874
Chenango,Southern Tier,#4E729C
Clinton,North Country,#7A9C6C
Columbia,Capital,#A7B0C8
Cortland,Central New York,#48818B
Delaware,Southern Tier,#4E729C
Dutchess,Mid-Hudson,#E3BDAF
Erie,Western New York,#A5CDB5
Essex,North Country,#7A9C6C
Franklin,North Country,#7A9C6C
Fulton,Mohawk Valley,#48818B
Genesee,Western New York,#A5CDB5
Greene,Capital,#A7B0C8
Hamilton,North Country,#7A9C6C
Herkimer,Mohawk Valley,#48818B
Jefferson,Tug Hill Seaway,#B38199
Kings,New York City,#A8A8A8
Lewis,Tug Hill Seaway,#B38199
Livingston,Finger Lakes,#CA8874
Madison,Central New York,#48818B
Manhattan,New York City,#A8A8A8
Monroe,Finger Lakes,#CA8874
Montgomery,Mohawk Valley,#48818B
Nassau,Long Island,#C8B562
New York,New York City,#A8A8A8
Niagara,Western New York,#A5CDB5
Oneida,Central New York,#48818B
Onondaga,Central New York,#48818B
Ontario,Finger Lakes,#CA8874
Orange,Mid-Hudson,#E3BDAF
Orleans,Western New York,#A5CDB5
Oswego,Central New York,#48818B
Otsego,Mohawk Valley,#48818B
Putnam,Mid-Hudson,#E3BDAF
Queens,New York City,#A8A8A8
Rensselaer,Capital,#A7B0C8
Richmond,New York City,#A8A8A8
Rockland,Mid-Hudson,#E3BDAF
St. Lawrence,Tug Hill Seaway,#B38199
Saratoga,Capital,#A7B0C8
Schenectady,Capital,#A7B0C8
Schoharie,Mohawk Valley,#48818B
Schuyler,Finger Lakes,#CA8874
Seneca,Finger Lakes,#CA8874
Steuben,Finger Lakes,#CA8874
Suffolk,Long Island,#C8B562
Sullivan,Mid-Hudson,#E3BDAF
Tioga,Southern Tier,#4E729C
Tompkins,Southern Tier,#4E729C
Ulster,Mid-Hudson,#E3BDAF
Warren,North Country,#7A9C6C
Washington,North Country,#7A9C6C
Wayne,Finger Lakes,#CA8874
Westchester,Mid-Hudson,#E3BDAF
Wyoming,Western New York,#A5CDB5
Yates,Finger Lakes,#CA8874